Ejercicio,REGION,Código Entidad,Entidad,Código Departamento,Departamento,Código Clase,Clase,Código Sección,Sección,Código Grupo,Grupo,Código Recurso,Recurso,Asignado,Modificado,Vigente,Devengado,Percibido
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10100,IMPUESTOS DIRECTOS,10140,IMPUESTOS MUNICIPALES,10141,SOBRE LA TENENCIA DE PATRIMONIO,526223000.00,0.00,526223000.00,258003299.04,258003299.04
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10223,SOBRE DERIVADOS DEL PETRÓLEO,70000000.00,0.00,70000000.00,38269944.33,38269944.33
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10220,IMPUESTOS SOBRE PRODUCTOS INDUSTRIALES Y PRIMARIOS,10224,REGALÍAS,1770000.00,0.00,1770000.00,426317.14,426317.14
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10282,SOBRE ESTABLECIMIENTOS DE SERVICIOS,57000.00,0.00,57000.00,21535.00,21535.00
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10284,SOBRE DIVERSIONES Y ESPECTÁCULOS,4230000.00,0.00,4230000.00,1084353.08,1084353.08
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,10000,INGRESOS TRIBUTARIOS,10200,IMPUESTOS INDIRECTOS,10280,ARBITRIOS MUNICIPALES,10289,OTROS ARBITRIOS MUNICIPALES,70032000.00,0.00,70032000.00,36852808.00,36852808.00
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11200,TASAS,11290,TASAS Y LICENCIAS VARIAS,11290,TASAS Y LICENCIAS VARIAS,388157000.00,0.00,388157000.00,133621744.76,133621744.76
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11300,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,11310,CONTRIBUCIONES POR MEJORAS,2000000.00,0.00,2000000.00,98767.51,98767.51
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11410,DE EDIFICIOS Y VIVIENDAS,11410,DE EDIFICIOS Y VIVIENDAS,3570000.00,0.00,3570000.00,766044.50,766044.50
2020,REGIÓN I METROPOLITANA,12100101,MUNICIPALIDAD DE GUATEMALA,0100,GUATEMALA,11000,INGRESOS NO TRIBUTARIOS,11400,"ARRENDAMIENTO DE EDIFICIOS, EQUIPOS E INSTALACIONES",11490,OTROS ARRENDAMIENTOS,11490,OTROS ARRENDAMIENTOS,6425000.00,0.00,6425000.00,2232640.52,2232640.52
